#==============================================================================
# DATASET #0
#==============================================================================
2.19911 0.809017
2.21482 0.799685
2.23053 0.790155
2.24624 0.78043
2.26195 0.770513
2.27765 0.760406
2.29336 0.750111
2.30907 0.739631
2.32478 0.728969
2.34049 0.718126
2.35619 0.707107
2.3719 0.695913
2.38761 0.684547
2.40332 0.673013
2.41903 0.661312
2.43473 0.649448
2.45044 0.637424
2.46615 0.625243
2.48186 0.612907
2.49757 0.60042
2.51327 0.587785
2.52898 0.575005
2.54469 0.562083
2.5604 0.549023
2.57611 0.535827
2.59181 0.522499
2.60752 0.509041
2.62323 0.495459
2.63894 0.481754
2.65465 0.46793
2.67035 0.45399
2.68606 0.439939
2.70177 0.425779
2.71748 0.411514
2.73319 0.397148
2.74889 0.382683
2.7646 0.368125
2.78031 0.353475
2.79602 0.338738
2.81173 0.323917
2.82743 0.309017
2.84314 0.29404
2.85885 0.278991
2.87456 0.263873
2.89027 0.24869
2.90597 0.233445
2.92168 0.218143
2.93739 0.202787
2.9531 0.187381
2.96881 0.171929
2.98451 0.156434
3.00022 0.140901
3.01593 0.125333
3.03164 0.109734
3.04734 0.0941083
3.06305 0.0784591
3.07876 0.0627905
3.09447 0.0471065
3.11018 0.0314108
3.12588 0.0157073
3.14159 -2.06823e-13


#==============================================================================
# DATASET #1
#==============================================================================
0 0
0.015708 0.0314108
0.0314159 0.0627905
0.0471239 0.0941083
0.0628319 0.125333
0.0785398 0.156434
0.0942478 0.187381
0.109956 0.218143
0.125664 0.24869
0.141372 0.278991
0.15708 0.309017
0.172788 0.338738
0.188496 0.368125
0.204204 0.397148
0.219911 0.425779
0.235619 0.45399
0.251327 0.481754
0.267035 0.509041
0.282743 0.535827
0.298451 0.562083
0.314159 0.587785
0.329867 0.612907
0.345575 0.637424
0.361283 0.661312
0.376991 0.684547
0.392699 0.707107
0.408407 0.728969
0.424115 0.750111
0.439823 0.770513
0.455531 0.790155
0.471239 0.809017
0.486947 0.827081
0.502655 0.844328
0.518363 0.860742
0.534071 0.876307
0.549779 0.891007
0.565487 0.904827
0.581195 0.917755
0.596903 0.929776
0.612611 0.940881
0.628319 0.951057
0.644026 0.960294
0.659734 0.968583
0.675442 0.975917
0.69115 0.982287
0.706858 0.987688
0.722566 0.992115
0.738274 0.995562
0.753982 0.998027
0.76969 0.999507
0.785398 1
0.801106 0.999507
0.816814 0.998027
0.832522 0.995562
0.84823 0.992115
0.863938 0.987688
0.879646 0.982287
0.895354 0.975917
0.911062 0.968583
0.92677 0.960294
0.942478 0.951057
0.958186 0.940881
0.973894 0.929776
0.989602 0.917755
1.00531 0.904827
1.02102 0.891007
1.03673 0.876307
1.05243 0.860742
1.06814 0.844328
1.08385 0.827081
1.09956 0.809017
1.11527 0.790155
1.13097 0.770513
1.14668 0.750111
1.16239 0.728969
1.1781 0.707107
1.19381 0.684547
1.20951 0.661312
1.22522 0.637424
1.24093 0.612907
1.25664 0.587785
1.27235 0.562083
1.28805 0.535827
1.30376 0.509041
1.31947 0.481754
1.33518 0.45399
1.35088 0.425779
1.36659 0.397148
1.3823 0.368125
1.39801 0.338738
1.41372 0.309017
1.42942 0.278991
1.44513 0.24869
1.46084 0.218143
1.47655 0.187381
1.49226 0.156434
1.50796 0.125333
1.52367 0.0941083
1.53938 0.0627905
1.55509 0.0314108
1.5708 -2.06823e-13
1.5865 -0.0314108
1.60221 -0.0627905
1.61792 -0.0941083
1.63363 -0.125333
1.64934 -0.156434
1.66504 -0.187381
1.68075 -0.218143
1.69646 -0.24869
1.71217 -0.278991
1.72788 -0.309017
1.74358 -0.338738
1.75929 -0.368125
1.775 -0.397148
1.79071 -0.425779
1.80642 -0.45399
1.82212 -0.481754
1.83783 -0.509041
1.85354 -0.535827
1.86925 -0.562083
1.88496 -0.587785
1.90066 -0.612907
1.91637 -0.637424
1.93208 -0.661312
1.94779 -0.684547
1.9635 -0.707107
1.9792 -0.728969
1.99491 -0.750111
2.01062 -0.770513
2.02633 -0.790155
2.04204 -0.809017
2.05774 -0.827081
2.07345 -0.844328
2.08916 -0.860742
2.10487 -0.876307
2.12058 -0.891007
2.13628 -0.904827
2.15199 -0.917755
2.1677 -0.929776
2.18341 -0.940881
2.19911 -0.951057
2.21482 -0.960294
2.23053 -0.968583
2.24624 -0.975917
2.26195 -0.982287
2.27765 -0.987688
2.29336 -0.992115
2.30907 -0.995562
2.32478 -0.998027
2.34049 -0.999507
2.35619 -1
2.3719 -0.999507
2.38761 -0.998027
2.40332 -0.995562
2.41903 -0.992115
2.43473 -0.987688
2.45044 -0.982287
2.46615 -0.975917
2.48186 -0.968583
2.49757 -0.960294
2.51327 -0.951057
2.52898 -0.940881
2.54469 -0.929776
2.5604 -0.917755
2.57611 -0.904827
2.59181 -0.891007
2.60752 -0.876307
2.62323 -0.860742
2.63894 -0.844328
2.65465 -0.827081
2.67035 -0.809017
2.68606 -0.790155
2.70177 -0.770513
2.71748 -0.750111
2.73319 -0.728969
2.74889 -0.707107
2.7646 -0.684547
2.78031 -0.661312
2.79602 -0.637424
2.81173 -0.612907
2.82743 -0.587785
2.84314 -0.562083
2.85885 -0.535827
2.87456 -0.509041
2.89027 -0.481754
2.90597 -0.45399
2.92168 -0.425779
2.93739 -0.397148
2.9531 -0.368125
2.96881 -0.338738
2.98451 -0.309017
3.00022 -0.278991
3.01593 -0.24869
3.03164 -0.218143
3.04734 -0.187381
3.06305 -0.156434
3.07876 -0.125333
3.09447 -0.0941083
3.11018 -0.0627905
3.12588 -0.0314108
3.14159 4.13646e-13


#==============================================================================
# DATASET #2
#==============================================================================
0 0
0.015708 0.0471065
0.0314159 0.0941083
0.0471239 0.140901
0.0628319 0.187381
0.0785398 0.233445
0.0942478 0.278991
0.109956 0.323917
0.125664 0.368125
0.141372 0.411514
0.15708 0.45399
0.172788 0.495459
0.188496 0.535827
0.204204 0.575005
0.219911 0.612907
0.235619 0.649448
0.251327 0.684547
0.267035 0.718126
0.282743 0.750111
0.298451 0.78043
0.314159 0.809017
0.329867 0.835807
0.345575 0.860742
0.361283 0.883766
0.376991 0.904827
0.392699 0.92388
0.408407 0.940881
0.424115 0.955793
0.439823 0.968583
0.455531 0.979223
0.471239 0.987688
0.486947 0.993961
0.502655 0.998027
0.518363 0.999877
0.534071 0.999507
0.549779 0.996917
0.565487 0.992115
0.581195 0.985109
0.596903 0.975917
0.612611 0.964557
0.628319 0.951057
0.644026 0.935444
0.659734 0.917755
0.675442 0.898028
0.69115 0.876307
0.706858 0.85264
0.722566 0.827081
0.738274 0.799685
0.753982 0.770513
0.76969 0.739631
0.785398 0.707107
0.801106 0.673013
0.816814 0.637424
0.832522 0.60042
0.84823 0.562083
0.863938 0.522499
0.879646 0.481754
0.895354 0.439939
0.911062 0.397148
0.92677 0.353475
0.942478 0.309017
0.958186 0.263873
0.973894 0.218143
0.989602 0.171929
1.00531 0.125333
1.02102 0.0784591
1.03673 0.0314108
1.05243 -0.0157073
1.06814 -0.0627905
1.08385 -0.109734
1.09956 -0.156434
1.11527 -0.202787
1.13097 -0.24869
1.14668 -0.29404
1.16239 -0.338738
1.1781 -0.382683
1.19381 -0.425779
1.20951 -0.46793
1.22522 -0.509041
1.24093 -0.549023
1.25664 -0.587785
1.27235 -0.625243
1.28805 -0.661312
1.30376 -0.695913
1.31947 -0.728969
1.33518 -0.760406
1.35088 -0.790155
1.36659 -0.81815
1.3823 -0.844328
1.39801 -0.868632
1.41372 -0.891007
1.42942 -0.911403
1.44513 -0.929776
1.46084 -0.946085
1.47655 -0.960294
1.49226 -0.97237
1.50796 -0.982287
1.52367 -0.990024
1.53938 -0.995562
1.55509 -0.99889
1.5708 -1
1.5865 -0.99889
1.60221 -0.995562
1.61792 -0.990024
1.63363 -0.982287
1.64934 -0.97237
1.66504 -0.960294
1.68075 -0.946085
1.69646 -0.929776
1.71217 -0.911403
1.72788 -0.891007
1.74358 -0.868632
1.75929 -0.844328
1.775 -0.81815
1.79071 -0.790155
1.80642 -0.760406
1.82212 -0.728969
1.83783 -0.695913
1.85354 -0.661312
1.86925 -0.625243
1.88496 -0.587785
1.90066 -0.549023
1.91637 -0.509041
1.93208 -0.46793
1.94779 -0.425779
1.9635 -0.382683
1.9792 -0.338738
1.99491 -0.29404
2.01062 -0.24869
2.02633 -0.202787
2.04204 -0.156434
2.05774 -0.109734
2.07345 -0.0627905
2.08916 -0.0157073
2.10487 0.0314108
2.12058 0.0784591
2.13628 0.125333
2.15199 0.171929
2.1677 0.218143
2.18341 0.263873
2.19911 0.309017
2.21482 0.353475
2.23053 0.397148
2.24624 0.439939
2.26195 0.481754
2.27765 0.522499
2.29336 0.562083
2.30907 0.60042
2.32478 0.637424
2.34049 0.673013
2.35619 0.707107
2.3719 0.739631
2.38761 0.770513
2.40332 0.799685
2.41903 0.827081
2.43473 0.85264
2.45044 0.876307
2.46615 0.898028
2.48186 0.917755
2.49757 0.935444
2.51327 0.951057
2.52898 0.964557
2.54469 0.975917
2.5604 0.985109
2.57611 0.992115
2.59181 0.996917
2.60752 0.999507
2.62323 0.999877
2.63894 0.998027
2.65465 0.993961
2.67035 0.987688
2.68606 0.979223
2.70177 0.968583
2.71748 0.955793
2.73319 0.940881
2.74889 0.92388
2.7646 0.904827
2.78031 0.883766
2.79602 0.860742
2.81173 0.835807
2.82743 0.809017
2.84314 0.78043
2.85885 0.750111
2.87456 0.718126
2.89027 0.684547
2.90597 0.649448
2.92168 0.612907
2.93739 0.575005
2.9531 0.535827
2.96881 0.495459
2.98451 0.45399
3.00022 0.411514
3.01593 0.368125
3.03164 0.323917
3.04734 0.278991
3.06305 0.233445
3.07876 0.187381
3.09447 0.140901
3.11018 0.0941083
3.12588 0.0471065
3.14159 -6.21358e-13


#==============================================================================
# DATASET #3
#==============================================================================
0 0
0.015708 0.0627905
0.0314159 0.125333
0.0471239 0.187381
0.0628319 0.24869
0.0785398 0.309017
0.0942478 0.368125
0.109956 0.425779
0.125664 0.481754
0.141372 0.535827
0.15708 0.587785
0.172788 0.637424
0.188496 0.684547
0.204204 0.728969
0.219911 0.770513
0.235619 0.809017
0.251327 0.844328
0.267035 0.876307
0.282743 0.904827
0.298451 0.929776
0.314159 0.951057
0.329867 0.968583
0.345575 0.982287
0.361283 0.992115
0.376991 0.998027
0.392699 1
0.408407 0.998027
0.424115 0.992115
0.439823 0.982287
0.455531 0.968583
0.471239 0.951057
0.486947 0.929776
0.502655 0.904827
0.518363 0.876307
0.534071 0.844328
0.549779 0.809017
0.565487 0.770513
0.581195 0.728969
0.596903 0.684547
0.612611 0.637424
0.628319 0.587785
0.644026 0.535827
0.659734 0.481754
0.675442 0.425779
0.69115 0.368125
0.706858 0.309017
0.722566 0.24869
0.738274 0.187381
0.753982 0.125333
0.76969 0.0627905
0.785398 -2.06823e-13
0.801106 -0.0627905
0.816814 -0.125333
0.832522 -0.187381
0.84823 -0.24869
0.863938 -0.309017
0.879646 -0.368125
0.895354 -0.425779
0.911062 -0.481754
0.92677 -0.535827
0.942478 -0.587785
0.958186 -0.637424
0.973894 -0.684547
0.989602 -0.728969
1.00531 -0.770513
1.02102 -0.809017
1.03673 -0.844328
1.05243 -0.876307
1.06814 -0.904827
1.08385 -0.929776
1.09956 -0.951057
1.11527 -0.968583
1.13097 -0.982287
1.14668 -0.992115
1.16239 -0.998027
1.1781 -1
1.19381 -0.998027
1.20951 -0.992115
1.22522 -0.982287
1.24093 -0.968583
1.25664 -0.951057
1.27235 -0.929776
1.28805 -0.904827
1.30376 -0.876307
1.31947 -0.844328
1.33518 -0.809017
1.35088 -0.770513
1.36659 -0.728969
1.3823 -0.684547
1.39801 -0.637424
1.41372 -0.587785
1.42942 -0.535827
1.44513 -0.481754
1.46084 -0.425779
1.47655 -0.368125
1.49226 -0.309017
1.50796 -0.24869
1.52367 -0.187381
1.53938 -0.125333
1.55509 -0.0627905
1.5708 4.13646e-13
1.5865 0.0627905
1.60221 0.125333
1.61792 0.187381
1.63363 0.24869
1.64934 0.309017
1.66504 0.368125
1.68075 0.425779
1.69646 0.481754
1.71217 0.535827
1.72788 0.587785
1.74358 0.637424
1.75929 0.684547
1.775 0.728969
1.79071 0.770513
1.80642 0.809017
1.82212 0.844328
1.83783 0.876307
1.85354 0.904827
1.86925 0.929776
1.88496 0.951057
1.90066 0.968583
1.91637 0.982287
1.93208 0.992115
1.94779 0.998027
1.9635 1
1.9792 0.998027
1.99491 0.992115
2.01062 0.982287
2.02633 0.968583
2.04204 0.951057
2.05774 0.929776
2.07345 0.904827
2.08916 0.876307
2.10487 0.844328
2.12058 0.809017
2.13628 0.770513
2.15199 0.728969
2.1677 0.684547
2.18341 0.637424
2.19911 0.587785
2.21482 0.535827
2.23053 0.481754
2.24624 0.425779
2.26195 0.368125
2.27765 0.309017
2.29336 0.24869
2.30907 0.187381
2.32478 0.125333
2.34049 0.0627905
2.35619 -6.19581e-13
2.3719 -0.0627905
2.38761 -0.125333
2.40332 -0.187381
2.41903 -0.24869
2.43473 -0.309017
2.45044 -0.368125
2.46615 -0.425779
2.48186 -0.481754
2.49757 -0.535827
2.51327 -0.587785
2.52898 -0.637424
2.54469 -0.684547
2.5604 -0.728969
2.57611 -0.770513
2.59181 -0.809017
2.60752 -0.844328
2.62323 -0.876307
2.63894 -0.904827
2.65465 -0.929776
2.67035 -0.951057
2.68606 -0.968583
2.70177 -0.982287
2.71748 -0.992115
2.73319 -0.998027
2.74889 -1
2.7646 -0.998027
2.78031 -0.992115
2.79602 -0.982287
2.81173 -0.968583
2.82743 -0.951057
2.84314 -0.929776
2.85885 -0.904827
2.87456 -0.876307
2.89027 -0.844328
2.90597 -0.809017
2.92168 -0.770513
2.93739 -0.728969
2.9531 -0.684547
2.96881 -0.637424
2.98451 -0.587785
3.00022 -0.535827
3.01593 -0.481754
3.03164 -0.425779
3.04734 -0.368125
3.06305 -0.309017
3.07876 -0.24869
3.09447 -0.187381
3.11018 -0.125333
3.12588 -0.0627905
3.14159 8.27292e-13


#==============================================================================
# DATASET #4
#==============================================================================
0 0
0.015708 0.0784591
0.0314159 0.156434
0.0471239 0.233445
0.0628319 0.309017
0.0785398 0.382683
0.0942478 0.45399
0.109956 0.522499
0.125664 0.587785
0.141372 0.649448
0.15708 0.707107
0.172788 0.760406
0.188496 0.809017
0.204204 0.85264
0.219911 0.891007
0.235619 0.92388
0.251327 0.951057
0.267035 0.97237
0.282743 0.987688
0.298451 0.996917
0.314159 1
0.329867 0.996917
0.345575 0.987688
0.361283 0.97237
0.376991 0.951057
0.392699 0.92388
0.408407 0.891007
0.424115 0.85264
0.439823 0.809017
0.455531 0.760406
0.471239 0.707107
0.486947 0.649448
0.502655 0.587785
0.518363 0.522499
0.534071 0.45399
0.549779 0.382683
0.565487 0.309017
0.581195 0.233445
0.596903 0.156434
0.612611 0.0784591
0.628319 -2.06379e-13
0.644026 -0.0784591
0.659734 -0.156434
0.675442 -0.233445
0.69115 -0.309017
0.706858 -0.382683
0.722566 -0.45399
0.738274 -0.522499
0.753982 -0.587785
0.76969 -0.649448
0.785398 -0.707107
0.801106 -0.760406
0.816814 -0.809017
0.832522 -0.85264
0.84823 -0.891007
0.863938 -0.92388
0.879646 -0.951057
0.895354 -0.97237
0.911062 -0.987688
0.92677 -0.996917
0.942478 -1
0.958186 -0.996917
0.973894 -0.987688
0.989602 -0.97237
1.00531 -0.951057
1.02102 -0.92388
1.03673 -0.891007
1.05243 -0.85264
1.06814 -0.809017
1.08385 -0.760406
1.09956 -0.707107
1.11527 -0.649448
1.13097 -0.587785
1.14668 -0.522499
1.16239 -0.45399
1.1781 -0.382683
1.19381 -0.309017
1.20951 -0.233445
1.22522 -0.156434
1.24093 -0.0784591
1.25664 4.12758e-13
1.27235 0.0784591
1.28805 0.156434
1.30376 0.233445
1.31947 0.309017
1.33518 0.382683
1.35088 0.45399
1.36659 0.522499
1.3823 0.587785
1.39801 0.649448
1.41372 0.707107
1.42942 0.760406
1.44513 0.809017
1.46084 0.85264
1.47655 0.891007
1.49226 0.92388
1.50796 0.951057
1.52367 0.97237
1.53938 0.987688
1.55509 0.996917
1.5708 1
1.5865 0.996917
1.60221 0.987688
1.61792 0.97237
1.63363 0.951057
1.64934 0.92388
1.66504 0.891007
1.68075 0.85264
1.69646 0.809017
1.71217 0.760406
1.72788 0.707107
1.74358 0.649448
1.75929 0.587785
1.775 0.522499
1.79071 0.45399
1.80642 0.382683
1.82212 0.309017
1.83783 0.233445
1.85354 0.156434
1.86925 0.0784591
1.88496 -6.19581e-13
1.90066 -0.0784591
1.91637 -0.156434
1.93208 -0.233445
1.94779 -0.309017
1.9635 -0.382683
1.9792 -0.45399
1.99491 -0.522499
2.01062 -0.587785
2.02633 -0.649448
2.04204 -0.707107
2.05774 -0.760406
2.07345 -0.809017
2.08916 -0.85264
2.10487 -0.891007
2.12058 -0.92388
2.13628 -0.951057
2.15199 -0.97237
2.1677 -0.987688
2.18341 -0.996917
2.19911 -1
2.21482 -0.996917
2.23053 -0.987688
2.24624 -0.97237
2.26195 -0.951057
2.27765 -0.92388
2.29336 -0.891007
2.30907 -0.85264
2.32478 -0.809017
2.34049 -0.760406
2.35619 -0.707107
2.3719 -0.649448
2.38761 -0.587785
2.40332 -0.522499
2.41903 -0.45399
2.43473 -0.382683
2.45044 -0.309017
2.46615 -0.233445
2.48186 -0.156434
2.49757 -0.0784591
2.51327 8.25516e-13
2.52898 0.0784591
2.54469 0.156434
2.5604 0.233445
2.57611 0.309017
2.59181 0.382683
2.60752 0.45399
2.62323 0.522499
2.63894 0.587785
2.65465 0.649448
2.67035 0.707107
2.68606 0.760406
2.70177 0.809017
2.71748 0.85264
2.73319 0.891007
2.74889 0.92388
2.7646 0.951057
2.78031 0.97237
2.79602 0.987688
2.81173 0.996917
2.82743 1
2.84314 0.996917
2.85885 0.987688
2.87456 0.97237
2.89027 0.951057
2.90597 0.92388
2.92168 0.891007
2.93739 0.85264
2.9531 0.809017
2.96881 0.760406
2.98451 0.707107
3.00022 0.649448
3.01593 0.587785
3.03164 0.522499
3.04734 0.45399
3.06305 0.382683
3.07876 0.309017
3.09447 0.233445
3.11018 0.156434
3.12588 0.0784591
3.14159 -1.03323e-12


#==============================================================================
# DATASET #5
#==============================================================================
0 0
0.015708 0.0941083
0.0314159 0.187381
0.0471239 0.278991
0.0628319 0.368125
0.0785398 0.45399
0.0942478 0.535827
0.109956 0.612907
0.125664 0.684547
0.141372 0.750111
0.15708 0.809017
0.172788 0.860742
0.188496 0.904827
0.204204 0.940881
0.219911 0.968583
0.235619 0.987688
0.251327 0.998027
0.267035 0.999507
0.282743 0.992115
0.298451 0.975917
0.314159 0.951057
0.329867 0.917755
0.345575 0.876307
0.361283 0.827081
0.376991 0.770513
0.392699 0.707107
0.408407 0.637424
0.424115 0.562083
0.439823 0.481754
0.455531 0.397148
0.471239 0.309017
0.486947 0.218143
0.502655 0.125333
0.518363 0.0314108
0.534071 -0.0627905
0.549779 -0.156434
0.565487 -0.24869
0.581195 -0.338738
0.596903 -0.425779
0.612611 -0.509041
0.628319 -0.587785
0.644026 -0.661312
0.659734 -0.728969
0.675442 -0.790155
0.69115 -0.844328
0.706858 -0.891007
0.722566 -0.929776
0.738274 -0.960294
0.753982 -0.982287
0.76969 -0.995562
0.785398 -1
0.801106 -0.995562
0.816814 -0.982287
0.832522 -0.960294
0.84823 -0.929776
0.863938 -0.891007
0.879646 -0.844328
0.895354 -0.790155
0.911062 -0.728969
0.92677 -0.661312
0.942478 -0.587785
0.958186 -0.509041
0.973894 -0.425779
0.989602 -0.338738
1.00531 -0.24869
1.02102 -0.156434
1.03673 -0.0627905
1.05243 0.0314108
1.06814 0.125333
1.08385 0.218143
1.09956 0.309017
1.11527 0.397148
1.13097 0.481754
1.14668 0.562083
1.16239 0.637424
1.1781 0.707107
1.19381 0.770513
1.20951 0.827081
1.22522 0.876307
1.24093 0.917755
1.25664 0.951057
1.27235 0.975917
1.28805 0.992115
1.30376 0.999507
1.31947 0.998027
1.33518 0.987688
1.35088 0.968583
1.36659 0.940881
1.3823 0.904827
1.39801 0.860742
1.41372 0.809017
1.42942 0.750111
1.44513 0.684547
1.46084 0.612907
1.47655 0.535827
1.49226 0.45399
1.50796 0.368125
1.52367 0.278991
1.53938 0.187381
1.55509 0.0941083
1.5708 -6.21358e-13
1.5865 -0.0941083
1.60221 -0.187381
1.61792 -0.278991
1.63363 -0.368125
1.64934 -0.45399
1.66504 -0.535827
1.68075 -0.612907
1.69646 -0.684547
1.71217 -0.750111
1.72788 -0.809017
1.74358 -0.860742
1.75929 -0.904827
1.775 -0.940881
1.79071 -0.968583
1.80642 -0.987688
1.82212 -0.998027
1.83783 -0.999507
1.85354 -0.992115
1.86925 -0.975917
1.88496 -0.951057
1.90066 -0.917755
1.91637 -0.876307
1.93208 -0.827081
1.94779 -0.770513
1.9635 -0.707107
1.9792 -0.637424
1.99491 -0.562083
2.01062 -0.481754
2.02633 -0.397148
2.04204 -0.309017
2.05774 -0.218143
2.07345 -0.125333
2.08916 -0.0314108
2.10487 0.0627905
2.12058 0.156434
2.13628 0.24869
2.15199 0.338738
2.1677 0.425779
2.18341 0.509041
2.19911 0.587785
2.21482 0.661312
2.23053 0.728969
2.24624 0.790155
2.26195 0.844328
2.27765 0.891007
2.29336 0.929776
2.30907 0.960294
2.32478 0.982287
2.34049 0.995562
2.35619 1
2.3719 0.995562
2.38761 0.982287
2.40332 0.960294
2.41903 0.929776
2.43473 0.891007
2.45044 0.844328
2.46615 0.790155
2.48186 0.728969
2.49757 0.661312
2.51327 0.587785
2.52898 0.509041
2.54469 0.425779
2.5604 0.338738
2.57611 0.24869
2.59181 0.156434
2.60752 0.0627905
2.62323 -0.0314108
2.63894 -0.125333
2.65465 -0.218143
2.67035 -0.309017
2.68606 -0.397148
2.70177 -0.481754
2.71748 -0.562083
2.73319 -0.637424
2.74889 -0.707107
2.7646 -0.770513
2.78031 -0.827081
2.79602 -0.876307
2.81173 -0.917755
2.82743 -0.951057
2.84314 -0.975917
2.85885 -0.992115
2.87456 -0.999507
2.89027 -0.998027
2.90597 -0.987688
2.92168 -0.968583
2.93739 -0.940881
2.9531 -0.904827
2.96881 -0.860742
2.98451 -0.809017
3.00022 -0.750111
3.01593 -0.684547
3.03164 -0.612907
3.04734 -0.535827
3.06305 -0.45399
3.07876 -0.368125
3.09447 -0.278991
3.11018 -0.187381
3.12588 -0.0941083
3.14159 1.24272e-12


